"","Rank","Team","Conf","W-L","BPI","SOS","SOR","RPI"
"","203","St. Francis (Pa)SFU","NEC","18-13","203","306","201","--"
"","204","Coastal CarolinaCCAR","Sun Belt","14-18","204","261","239","--"
"","205","South AlabamaUSA","Sun Belt","14-18","205","225","238","--"
"","206","Kent StateKENT","MAC E","17-17","206","216","209","--"
"","207","Stony BrookSTON","Am. East","13-19","207","144","222","--"
"","208","SeattleSEA","WAC","20-14","208","269","183","--"
"","209","Saint Peter'sSPU","MAAC","14-18","209","273","245","--"
"","210","Tennessee TechTNTC","OVC","19-14","210","199","167","--"
"","211","FairfieldFAIR","MAAC","17-16","211","231","203","--"
"","212","NiagaraNIAG","MAAC","19-14","212","271","172","--"
"","213","UL MonroeULM","Sun Belt","16-16","213","205","207","--"
"","214","Texas StateTXST","Sun Belt","15-18","214","275","242","--"
"","215","ManhattanMAN","MAAC","14-17","215","283","235","--"
"","216","Charleston SouthernCHSO","Big South","15-16","216","262","234","--"
"","217","Central ArkansasCARK","Southland","18-17","217","277","218","--"
"","218","SE LouisianaSELA","Southland","22-12","218","281","153","--"
"","219","George MasonGMU","A 10","16-17","219","131","177","--"
"","220","Sam Houston StSHSU","Southland","21-15","220","309","199","--"
"","221","Washington StWSU","Pac-12","12-19","221","83","181","--"
"","222","LehighLEH","Patriot","16-14","222","291","206","--"
"","223","Tennessee StTNST","OVC","15-15","223","196","205","--"
"","224","HartfordHART","Am. East","19-14","224","314","186","--"
"","225","ArmyARMY","Patriot","13-17","225","340","271","--"
"","226","James MadisonJMU","CAA","10-22","226","230","295","--"
"","227","MilwaukeeMILW","Horizon","16-17","227","285","233","--"
"","228","Hawai'IHAW","Big West","17-13","228","303","188","--"
"","229","Texas SouthernTXSO","SWAC","16-20","229","109","246","--"
"","230","Boston Univ.BU","Patriot","15-16","230","289","219","--"
"","231","New HampshireUNH","Am. East","10-21","231","251","308","--"
"","232","ElonELON","CAA","14-18","232","191","220","--"
"","233","DenverDEN","Summit","15-15","233","238","204","--"
"","234","Long Beach StLBSU","Big West","15-18","234","138","211","--"
"","235","Florida AtlanticFAU","C-USA","12-19","235","171","260","--"
"","236","NJITNJIT","A-Sun","14-16","236","301","264","--"
"","237","Gardner-WebbWEBB","Big South","14-18","237","162","227","--"
"","238","Southern MissUSM","C-USA","16-18","238","124","190","--"
"","239","Robert MorrisRMU","NEC","16-17","239","292","237","--"
"","240","Eastern IllinoisEIU","OVC","12-19","240","224","269","--"
"","241","LIU BrooklynLIU","NEC","18-17","241","349","275","--"
"","242","Bowling GreenBGSU","MAC E","16-16","242","294","214","--"
"","243","UNC WilmingtonUNCW","CAA","11-21","243","160","263","--"
"","244","Green BayGB","Horizon","13-20","244","248","291","--"
"","245","Loyola MarymountLMU","WCC","11-20","245","112","247","--"
"","246","Mt. St. Mary'sMSM","NEC","18-14","246","343","228","--"
"","247","PittsburghPITT","ACC","8-24","247","33","197","--"
"","248","UTEPUTEP","C-USA","11-20","248","185","272","--"
"","249","CSU BakersfieldCSB","WAC","12-18","249","134","224","--"
"","250","DrexelDREX","CAA","13-20","250","232","257","--"
"","251","Fairleigh DickinsonFDU","NEC","13-18","251","282","273","--"
"","252","Abilene ChristianACU","Southland","16-16","252","344","266","--"
"","253","HamptonHAMP","MEAC","18-16","253","321","267","--"
"","254","AkronAKR","MAC E","14-18","254","241","232","--"
"","255","BrownBRWN","Ivy","11-16","255","256","249","--"
"","256","Colorado StCSU","MW","11-21","256","89","221","--"
"","257","Northern IllinoisNIU","MAC W","13-19","257","236","253","--"
"","258","DelawareDEL","CAA","14-19","258","252","248","--"
"","259","Florida Int'LFIU","C-USA","14-18","259","300","265","--"
"","260","New OrleansUNO","Southland","16-17","260","257","243","--"
"","261","CornellCOR","Ivy","12-16","261","210","216","--"
"","262","Holy CrossHC","Patriot","12-19","262","308","274","--"
"","263","Prairie ViewPV","SWAC","16-18","263","217","262","--"
"","264","Idaho StateIDST","Big Sky","14-16","264","316","251","--"
"","265","BinghamtonBING","Am. East","11-20","265","323","309","--"
"","266","Arkansas StARST","Sun Belt","11-21","266","208","285","--"
"","267","OmahaUNOM","Summit","9-22","267","110","277","--"
"","268","CaliforniaCAL","Pac-12","8-24","268","78","261","--"
"","269","Western IllinoisWIU","Summit","12-16","269","266","252","--"
"","270","DartmouthDART","Ivy","7-20","270","226","301","--"
"","271","North DakotaUND","Big Sky","12-20","271","146","250","--"
"","272","North Carolina CentralNCCU","MEAC","19-16","272","350","297","--"
